"Playlist Title","Pachanga! #21"
"DJ Name",PJ
"Playlist Start Date","Jul 13, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jul 13, 2023",Sadistics,"Close Your Eyes","We Are Just Taking Off",Victor
"Jul 13, 2023","Jonathan Richman","I Love Hot Nights","Modern Lovers '88",Rounder
"Jul 13, 2023","Talking Heads","And She Was","Little Creatures","Warner Records"
"Jul 13, 2023","Declan McKenna","Listen to Your Friends","What Do You Think About the Car?",Columbia
"Jul 13, 2023","Daniel Donato",Justice,"A Young Man's Country","Cosmic Country Music"
"Jul 13, 2023",Melanie,"People In the Front Row","Garden in the City",Buddah/Legacy
"Jul 13, 2023","Hi Crime","World's Fair",Midori,"Hi Crime"
"Jul 13, 2023",GUAYA!,"Cien Años","Cien Años - Single","Chins Kitchen Records"
"Jul 13, 2023",Cuco,"Do Better","Para Mí","Cuco / Interscope PS"
"Jul 13, 2023","Luna Luna","Fro (feat. Pretty Boy Aaron)","Fro (feat. Pretty Boy Aaron) - Single","Luna Luna"
"Jul 13, 2023","Electric Light Orchestra","Turn to Stone","Out of the Blue",Epic/Legacy
"Jul 13, 2023","The Suburbs","Spring Came","Credit in Heaven","The Suburbs"
"Jul 13, 2023","Charlie Burg","Lancaster Nights","Lancaster Nights - Single","FADER Label"
"Jul 13, 2023","The Replacements","Here Comes a Regular","Tim (Expanded Edition)","Rhino/Warner Records"
"Jul 13, 2023","Steely Dan","Time Out of Mind","Citizen Steely Dan 1972-1980",Geffen*
"Jul 13, 2023",Wings,"Must Do Something About It","At the Speed of Sound","Paul McCartney Catalog"
