"Playlist Title","Pachanga! #22"
"DJ Name",PJ
"Playlist Start Date","Jul 20, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"
"Episode Description","<p>all covers</p>"

Date,Artist,Song,Release,Label
"Jul 20, 2023","Walter Wanderley",Nobody,"The Return of the Original","S.D.E.G. Records"
"Jul 20, 2023","Brandi Carlile","Space Oddity","In These Silent Days (Deluxe Edition) / In The Canyon Haze","Low Country Sound/Elektra"
"Jul 20, 2023","Joan Jett & the Blackhearts",Androgynous,Sinner,"Legacy Recordings"
"Jul 20, 2023","Omar Apollo","California Dreamin' - Spotify Singles","Spotify Singles",
"Jul 20, 2023","Celtas Cortos","Vamos Eileen (Come On Eileen)","Introversiónes (Deluxe Versión)","WM Spain"
"Jul 20, 2023","The Niü Mariachi","Crazy Little Thing Called Love","Niü Mariachi Rock (The Future Sound Of Mariachi)","Multimusic México"
"Jul 20, 2023","Los Cenzontles","Can't Get It Out of My Head","Can't Get It Out of My Head - Single","Los Cenzontles Mexican Arts Center"
"Jul 20, 2023","Talking Heads","The Girls Want to Be With the Girls (2005 Remastered)","More Songs About Buildings and Food (Bonus Track Version)","Rhino/Warner Records"
"Jul 20, 2023","Yo La Tengo","I Saw the Light","Fade (Deluxe Edition)",Matador
"Jul 20, 2023","The Stone Foxes","I'm a King Bee","I'm a King Bee - Single","The Stone Foxes"
"Jul 20, 2023","Orville Peck","Mona Lisas and Mad Hatters","Mona Lisas and Mad Hatters - Single",Columbia
"Jul 20, 2023","Luke Combs","Fast Car","Gettin' Old","River House Artists/Columbia Nashville"
"Jul 20, 2023","Tyler Childers","Highway 40 Blues (ft. Ricky Skaggs & Larry Cordle)","Spotify Singles",
"Jul 20, 2023","Arcade Fire","Mind Games - Recorded at Spotify Studios NYC","Spotify Singles",
"Jul 20, 2023","Ritt Momney","Put Your Records On","Put Your Records On - Single",QuarterZip
"Jul 20, 2023","The Killers","Romeo and Juliet",Sawdust,"Island Records"
