"Playlist Title","Pachanga! #30"
"DJ Name",PJ
"Playlist Start Date","Oct 19, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Oct 19, 2023","Declan McKenna",Brazil,"What Do You Think About the Car?","Sony Music Labels Inc."
"Oct 19, 2023","TV Girl","Lovers Rock","French Exit","TV Girl"
"Oct 19, 2023","The Smiths","Please, Please, Please, Let Me Get What I Want","Hatful of Hollow",Rhino
"Oct 19, 2023","Declan McKenna","You Better Believe!!!",Zeros,Tomplicated
"Oct 19, 2023","Sammy Rae & The Friends","Follow Me Like the Moon","Follow Me Like the Moon - Single","Nettwerk Music Group"
"Oct 19, 2023","The Motels","Total Control","The Motels","Capitol Records"
"Oct 19, 2023","The The","Dogs of Lust",Dusk,Epic
"Oct 19, 2023","Winnetka Bowling League",CVS,"CVS - Single","RCA Records Label"
"Oct 19, 2023",Racoma,"Tides High","Racoma - EP",Racoma
"Oct 19, 2023","Red Hot Chili Peppers","I Get Around (Live)","Rock & Roll Hall of Fame Covers - EP","Warner Records"
"Oct 19, 2023","Eli Smart","Fiesta 99.9FM","Fiesta 99.9FM - Single","Aloha Soul"
"Oct 19, 2023","This is Slug","Get Home Safe Ben","Get Home Safe Ben - Single",Independent
"Oct 19, 2023","Talking Heads","Love For Sale (2005 Remaster)","True Stories (Bonus Track Version)","Parlophone UK"
"Oct 19, 2023",Chairlift,Bruises,"Does You Inspire You",Kanine
"Oct 19, 2023","Will Leet","Satan & the Sailor","Come Back Roses","3017064 Records DK2"
"Oct 19, 2023","Electric Light Orchestra",Wishing,Discovery,Epic/Legacy
