"Playlist Title","Pachanga! #35 (Christmas 2023!)"
"DJ Name",PJ
"Playlist Start Date","Dec 14, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Dec 14, 2023",Khruangbin,"Christmas Time Is Here","Christmas Time Is Here - Single","Dead Oceans/ Night Time Stories"
"Dec 14, 2023","Remi Wolf","Last Christmas","Last Christmas / Winter Wonderland - Single","Island Records"
"Dec 14, 2023","Sidney Gish","Santa Baby","Santa Baby - Single","Sidney Gish"
"Dec 14, 2023","Julian Casablancas","Christmas Treat","Phrazes For The Young (Deluxe Version)","RCA Records Label"
"Dec 14, 2023","Dent May","I'll Be Stoned For Christmas","I'll Be Stoned For Christmas - Single","Cats Purring"
"Dec 14, 2023","The Holiday Place","Mamacita, Donde Esta Santa Claus","Maybe This Christmas, Vol 7: The Christmas Cottage","Nettwerk Music Group"
"Dec 14, 2023",FEET,"Vegetarian Christmas","Vegetarian Christmas - Single","Clapped Records"
"Dec 14, 2023",Eels,"Everything's Gonna Be Cool This Christmas","Useless Trinkets-B Sides, Soundtracks, Rarities and Unreleased 1996-2006 (Audio Version)",Geffen
"Dec 14, 2023","The Linda Lindas","Groovy Xmas","Groovy Xmas - Single",Epitaph
"Dec 14, 2023","Nick Lowe","Christmas At the Airport","Quality Street - A Seasonal Selection for All the Family","Yep Roc Records"
"Dec 14, 2023","Dwight Yoakam","Santa Claus Is Back In Town","Come On Christmas","Rhino/Warner Records"
"Dec 14, 2023","Dolly Parton","A Smoky Mountain Christmas","A Holly Dolly Christmas (Ultimate Deluxe Edition)","Warner Records"
"Dec 14, 2023","Peach Pit","Did I Make You Cry on Christmas Day? (Well, You Deserved It!)","Did I Make You Cry on Christmas Day? (Well, You Deserved It!) - Single",Columbia
"Dec 14, 2023","Boney M.","Feliz Navidad","Christmas With Boney M.",MCI
"Dec 14, 2023","Jon Bon Jovi","Christmas (Baby Please Come Home)","A Very Special Christmas: Live from Washington, D.C.",A&M
"Dec 14, 2023","Bruce Springsteen & The E Street Band","Merry Christmas Baby","A Very Special Christmas",A&M
