"Playlist Title","Pachanga! #39"
"DJ Name",PJ
"Playlist Start Date","Feb 15, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Feb 15, 2024","Talking Heads","Puzzlin' Evidence (2005 Remaster)","True Stories (Bonus Track Version)","Parlophone UK"
"Feb 15, 2024","Night Shop","The One I Love","In the Break","Woodsist / Mare"
"Feb 15, 2024",Walrus,"Cool to Who","Cool to Who","Outside Music"
"Feb 15, 2024",Blondie,Atomic,"Bite Size Blondie - EP","Parlophone Catalogue"
"Feb 15, 2024",Ash,"Girl from Mars",1977,Echo
"Feb 15, 2024","The The","This Is the Night",Dusk,Epic
"Feb 15, 2024","Omar Apollo",Stayback,Apolonio,"Warner Records"
"Feb 15, 2024","Orville Peck","Hexie Mountains",Bronco,Columbia
"Feb 15, 2024","Declan McKenna","Slipping Through My Fingers","Slipping Through My Fingers - Single",Tomplicated
"Feb 15, 2024","Tijuana No!","Spanish Bombs","Contra-Revolucion Avenue","RCA Records Label"
"Feb 15, 2024","The Sleepy Jackson","Good Dancers","The Sleepy Jackson","Virgin Records"
"Feb 15, 2024","Orange Juice","Rip It Up","Rip It Up","Analogue Enhanced Digital Limited"
"Feb 15, 2024","Dean Wareham & Cheval Sombre","Wayfaring Stranger","Dean Wareham vs. Cheval Sombre","Double Feature"
"Feb 15, 2024","The Passions","I'm In Love With a German Film Star","Thirty Thousand Feet Over China","UMC (Universal Music Catalogue)"
