"Playlist Title","Pachanga! #4"
"DJ Name",PJ
"Playlist Start Date","Jan 5, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jan 5, 2023",Esquivel,Surfboard,"The Genius of Esquivel","RitmoDisc S.A."
"Jan 5, 2023","Swim Mountain","Somebody New","If (Deluxe Edition)","Monday Records"
"Jan 5, 2023",Wilco,"Summer Teeth",Summerteeth,Nonesuch
"Jan 5, 2023","The Beths","Silence Is Golden","Expert in a Dying Field","Carpark Records"
"Jan 5, 2023","Kid Bloom","Hold In, Hold On","Hold In, Hold On - Single","KID BLOOM/Electric Feel Rcds"
"Jan 5, 2023",Enumclaw,"Jimmy Neutron","Jimmy Neutron - Single","Luminelle Recordings"
"Jan 5, 2023","Sammy Rae & The Friends","Creo Lo Sientes (feat. C-BASS)","Let's Throw a Party - EP","Nettwerk Music Group"
"Jan 5, 2023","Yoko Ono","Nobody Sees Me Like You Do","Yes, I'm a Witch",Astralwerks
"Jan 5, 2023","Bruce Springsteen","Fire (Live at the Winterland, San Francisco, CA - December 1978)","Bruce Springsteen & the E Street Band Live 1975-85",Columbia/Legacy
"Jan 5, 2023","illuminati hotties",Mmmoooaaaaayaya,"Let Me Do One More","Snack Shack Tracks / Hopeless Records"
"Jan 5, 2023",Phish,"Crosseyed and Painless (Live)","Live Phish, Volume 3: 9/14/00 (Darien Lake Peforming Arts Center, Darien Center, NY)","JEMP Records"
"Jan 5, 2023","Sure Sure","This Must Be the Place","Sure Sure","Sure Sure"
"Jan 5, 2023","Remi Wolf","Down the Line","I'm Allergic To Dogs! - EP","Island Records"
"Jan 5, 2023","Art Lown","Deep Blue Sea","Piper Oz the Hound","Anthology Recordings"
"Jan 5, 2023","Jens Lekman","A Postcard to Nina","The Linden Trees Are Still In Blossom","Secretly Canadian"
"Jan 5, 2023","David Bowie","Starman (2012 Remaster)","The Rise and Fall of Ziggy Stardust And the Spiders from Mars","Parlophone UK"
