"Playlist Title","Pachanga! #44"
"DJ Name",PJ
"Playlist Start Date","Apr 11, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Apr 11, 2024","Xavier Cugat and His Orchestra","Rum and Coca-Cola (Mambo)","Cugi's Cocktails","Verve Reissues"
"Apr 11, 2024","Omar Apollo",Spite,"Spite - Single",
"Apr 11, 2024","Elvis Costello & The Attractions","Oliver's Army","Armed Forces (Super Deluxe Edition)","UMe/Elvis Costello"
"Apr 11, 2024",Junip,"Far Away","Fields (Deluxe Edition)",Mute
"Apr 11, 2024","Electric Light Orchestra","Moment In Paradise",Zoom,Columbia/Legacy
"Apr 11, 2024",Poolside,"Around the Sun","Low Season","Pacific Standard Records"
"Apr 11, 2024",Soap,Sos,"Sos - Single","Embassy Records"
"Apr 11, 2024","Kurt Vile","Loading Zones","Bottle It In",Matador
"Apr 11, 2024","Junior Mesa","Losing My Grip","Losing My Grip / Creep - Single","Nice Life Recording Company"
"Apr 11, 2024","The Hues Corporation","Rock the Boat","Freedom for the Stallion (Expanded Edition)","RCA Victor"
"Apr 11, 2024","Charlie Parr","1922 Blues","Cheap Wine","Tin Angel Records"
"Apr 11, 2024","Paul & Linda McCartney","Monkberry Moon Delight","Ram (Archive Collection) [2012 Remaster]","Paul McCartney Catalog"
"Apr 11, 2024","Fleetwood Mac","What Makes You Think You're the One","Tusk (Deluxe Edition)","Rhino/Warner Records"
"Apr 11, 2024","Sammy Rae & The Friends","Saw It Coming","Saw It Coming - Single","Nettwerk Music Group"
"Apr 11, 2024","The Flirts","Jukebox (Don't Put Another Dime)","10 Cents for a Dance","High Fashion Music"
"Apr 11, 2024","Baby Bash, The BashTones & Joey Quinones","Maybe It's Time","Souldies Are Forever","Bashtown Music Group"
"Apr 11, 2024","Remi Wolf",Cinderella,"Big Ideas","Remi Wolf PS"
