"Playlist Title","Pachanga! #48"
"DJ Name",PJ
"Playlist Start Date","May 30, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"May 30, 2024","Arcade Player","Chapter 3 Boss (From ""Paper Mario: The Thousand Year Door"")","Paper Mario: The Thousand Year Door","8-Bit Arcade"
"May 30, 2024","Violent Femmes","Please Do Not Go","Violent Femmes","Craft Recordings"
"May 30, 2024","The Infamous Stringdusters","Just Like Heaven","Undercover, Vol. 2 - EP","Americana Vibes"
"May 30, 2024","Remi Wolf",Toro,"Toro / Alone in Miami","Island Records"
"May 30, 2024","Seiji Tanaka","Saturday Night","O Marijana",Victor
"May 30, 2024",SOAP,"Work Is Hard, Life Isn't Easy","Work Is Hard, Life Isn't Easy - Single","Embassy Records"
"May 30, 2024","Echo & The Bunnymen","Seven Seas","Ocean Rain","WM UK"
"May 30, 2024","The Lil Smokies","Going to California","Going to California - Single","United Interests"
"May 30, 2024","Father John Misty","I'm Writing a Novel","Fear Fun","Sub Pop Records"
"May 30, 2024","Luna Luna","Si Una Vez","Si Una Vez - Single","Lower Colorado Record Authority"
"May 30, 2024","Chicano Batman","Crosseyed and Painless (ft. Money Mark)","Everyone's Getting Involvedd: A Tribute to Talking Heads' Stop Making Sense","A24 Music"
"May 30, 2024","Car Seat Headrest","Sober to Death (Live at Brooklyn Steel)","Faces From the Masquerade",Matador
"May 30, 2024","Andy Shauf","Quite Like You","The Party",Anti/Epitaph
"May 30, 2024",Sealife,Peaches,"A Jazz","Look Up Records"
"May 30, 2024",Rotsam,"Pink Moon","Spotify Singles",
"May 30, 2024","David Bowie","Drive In Saturday","Aladdin Sane (2013 Remaster)","Parlophone UK"
