"Playlist Title","Pachanga! #50 -- 50 shows at SPACE!"
"DJ Name",PJ
"Playlist Start Date","Jun 13, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jun 13, 2024","Mort Garson","Ode to an African Violet","Mother Earth's Plantasia","Sacred Bones Records"
"Jun 13, 2024","Fleetwood Mac","Sisters of the Moon","Tusk (Deluxe Edition)","Rhino/Warner Records"
"Jun 13, 2024","Frances Forever","Space Girl","space girl - Single",Mom+Pop
"Jun 13, 2024","Talking Heads","Moon Rocks","Speaking In Tongues","Warner Records"
"Jun 13, 2024","The Byrds","Mr. Spaceman (Live)","Live at Royal Albert Hall 1971","Sundazed Music"
"Jun 13, 2024","David Bowie","Moonage Daydream (The Arnold Corns Single Version) [2015 Remaster]","Five Years 1969-1973","Parlophone UK"
"Jun 13, 2024","Cosmic Bears","Cosmic Dancer","Cosmic Bear Jamboree",Eliterecords
"Jun 13, 2024","The Flaming Lips","Space Oddity","Space Oddity - Single","Warner Records"
"Jun 13, 2024","The Avalanches","Interstellar (ft. Leon Bridges)","Interstellar (ft. Leon Bridges)",
"Jun 13, 2024","Rex Orange County","Pluto Projector",Pony,"Rex Orange County"
"Jun 13, 2024","Lemon Jelly","Space Walk","Lost Horizons","XL Recordings"
"Jun 13, 2024","Public Service Broadcasting",Go!,"The Race For Space","Test Card Recordings"
"Jun 13, 2024","Declan McKenna","Be an Astronaut",Zeros,Tomplicated
"Jun 13, 2024","Liz Cooper","Outer Space","Window Flowers","Sleepyhead Records"
