"Playlist Title","Pachanga! #53"
"DJ Name",PJ
"Playlist Start Date","Aug 22, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Aug 22, 2024","Herb Alpert & The Tijuana Brass","Spanish Flea","!!Going Places!!","Herb Alpert Presents"
"Aug 22, 2024","Sammy Rae & The Friends & Jacob Jeffries","Cool - Doug, at Night","Something for Everybody",
"Aug 22, 2024","Sammy Rae & The Friends","We Made It (feat. Celisse)","Something for Everybody",
"Aug 22, 2024",Goose,Arcadia,"Moon Cabin",Goose
"Aug 22, 2024","The Sheepdogs","Darlin' Baby","Darlin' Baby - Single",
"Aug 22, 2024","Orville Peck, TJ Osborne, Waylon Payne & Fancy Hagood","Rhinestone Cowboy",Stampede,"Warner Records"
"Aug 22, 2024","The Band Perry","Gentle On My Mind","Glen Campbell: I'll Be Me (Soundtrack)","Big Machine Records, LLC."
"Aug 22, 2024",Houndmouth,"On the Road","From the Hills Below the City","Rough Trade"
"Aug 22, 2024",Phosphorescent,"Wish I Had Not Said That (Recorded at Spotify Studios NYC)","Spotify Singles","Dead Oceans"
"Aug 22, 2024",Kajagoogoo,"Too Shy","White Feathers","Parlophone UK"
"Aug 22, 2024","Devendra Banhart",May,"Flying Wig","Mexican Summer"
"Aug 22, 2024","Van Morrison","Into the Mystic (Live)","..It's Too Late to Stop Now...Volumes II, III & IV (Live)","Legacy Recordings"
"Aug 22, 2024","Daniel Donato",Hi-Country,Reflector,"Retrace Music"
"Aug 22, 2024",Soap,"Let's Start a Cult","Let's Start a Cult - Single",SOAP
"Aug 22, 2024","Duran Duran","Planet Earth","Duran Duran","Parlophone UK"
"Aug 22, 2024","Electric Light Orchestra",Bluebird,"Secret Messages (2018 Version)",Epic/Legacy
