"Playlist Title","Pachanga! #55"
"DJ Name",PJ
"Playlist Start Date","Sep 12, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Sep 12, 2024","The The",Giant,"Soul Mining",Epic
"Sep 12, 2024","Manu Chao","Me Gustas Tú","Próxima Estación: Esperanza","Radio Bemba"
"Sep 12, 2024","Steely Dan","Rikki Don't Lose That Number","Pretzel Logic",Geffen
"Sep 12, 2024","illuminati hotties","Sleeping In",Power,"Snack Shack Tracks / Hopeless Records"
"Sep 12, 2024",Ace,"How Long",Five-A-Side,"Cavalcade Records Ltd"
"Sep 12, 2024","Father John Misty","I Guess Time Just Makes Fools of Us All","I Guess Time Just Makes Fools of Us All - Single",
"Sep 12, 2024","Sammy Rae & The Friends","Everybody Wants to Rule the World","Everybody Wants to Rule the World - Single","Nettwerk Music Group"
"Sep 12, 2024","Car Seat Headrest",Martin,"Making a Door Less Open",Matador
"Sep 12, 2024","Chastity Belt",Blue,"Live Laugh Love","Suicide Squeeze Records"
"Sep 12, 2024",America,"People In the Valley",Hearts,Rhino
"Sep 12, 2024","The Replacements","Sixteen Blue","Let It Be",Ryko/Rhino
"Sep 12, 2024","Neal Francis","Very Fine, Pts. 1 & 2","Sentimental Garbage","ATO Records / Fontana North"
