"Playlist Title","Pachanga! #58 (Halloween 2024)"
"DJ Name",PJ
"Playlist Start Date","Oct 17, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Oct 17, 2024","Messer Chups","Ghost Party","Spooky Hook","Storage Records"
"Oct 17, 2024","The Chantoozies","Witch Queen","The Chantoozies Compilation","The Chantoozies"
"Oct 17, 2024","The Kinks","Wicked Annabella (2018 Stereo Remaster)","The Journey, Pt. 2","BMG Rights Management (UK) Limited"
"Oct 17, 2024",Teleman,"Skeleton Dance",Breakfast,"Moshi Moshi"
"Oct 17, 2024","Duran Duran","PSYCHO KILLER (featuring Victoria De Angelis)","DANSE MACABRE","BMG Rights Management (US) LLC"
"Oct 17, 2024",Eagles,"Witchy Woman",Eagles,Rhino/Elektra
"Oct 17, 2024","Don Hinson & The Rigamorticians","Riboflavin-Flavored, Non-Carbonated, Polyunsaturated Blood","Monster Dance Party","Capitol Records"
"Oct 17, 2024","Andy Shauf","Halloween Store",Norm,Anti/Epitaph
"Oct 17, 2024","The Smiths","Pretty Girls Make Graves (Troy Tate Demo)",Complete,Rhino
"Oct 17, 2024",Run-DMC,Ghostbusters,"RUN DMC ""High Profile: The Original Rhymes""",Arista
"Oct 17, 2024","Greta Van Fleet","Black Smoke Rising","From the Fires","Lava Music/Republic Records"
"Oct 17, 2024","The Cure",Lullaby,"Disintegration (Deluxe Edition - Remastered)",Rhino/Elektra
"Oct 17, 2024","The Who","Boris the Spider (Mono)","Happy Jack","Oldays Records"
"Oct 17, 2024",Cream,"Strange Brew","Disraeli Gears","Polydor Records"
"Oct 17, 2024","The Cramps","I was a Teenage Werewolf","Songs the Lord Taught Us","EMI Records"
"Oct 17, 2024","David Bowie","I'm Afraid of Americans",Earthling,"Parlophone UK"
