"Playlist Title","Pachanga! #61"
"DJ Name",PJ
"Playlist Start Date","Nov 21, 2024"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Nov 21, 2024","Black Moth Super Rainbow","Smile the Day After Today","EATING US","Rad Cult"
"Nov 21, 2024",fanclubwallet,"This Must Be the Place","This Must Be the Place - Single","Club Records"
"Nov 21, 2024","The Velvet Underground","Mean Old Man",Squeeze,ODL
"Nov 21, 2024","Haley Heynderickx",Foxglove,"Seed of a Seed","Mama Bird Recording Co."
"Nov 21, 2024","Orville Peck","Smalltown Boy","Smalltown Boy - Single",Columbia
"Nov 21, 2024","F.R. David","Someone to Love","Words (The Original Album 1982)",Moonlight-mainlight
"Nov 21, 2024",Greenflow,"I Got'cha",Solutions,"Numero Group"
"Nov 21, 2024","OK Go","The Lovecats","Do What You Want - EP","Capitol Records"
"Nov 21, 2024","Nicholas Podany",Unspectacular,"Unspectacular - Single",
"Nov 21, 2024","Sea Lemon","Sweet Anecdote","Sweet Anecdote - Single",
"Nov 21, 2024","Art Lown","Power of Rain","Piper Oz the Hound","Anthology Recordings"
"Nov 21, 2024","Electric Light Orchestra","Melting In the Sun",Zoom,Columbia/Legacy
"Nov 21, 2024","The Jeremy Spencer Band","Cool Breeze",Flee,"Rhino Atlantic"
"Nov 21, 2024","Rodrigo Amarante",Maré,Drama,"Polyvinyl Records"
"Nov 21, 2024","Madison Cunningham","Hospital (One Man Down) (ft. Remi Wolf)","Hospital (One Man Down)","Verve Label Group"
"Nov 21, 2024","The Who","Squeeze Box","The Who By Numbers (Bonus Track Version)",Geffen
"Nov 21, 2024","Depeche Mode","Enjoy the Silence",Violator,"Venusnote Ltd."
