"Playlist Title","Pachanga! #69"
"DJ Name",PJ
"Playlist Start Date","Apr 24, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"
"Episode Description","<p>Theme: albums that are blue</p>"

Date,Artist,Song,Release,Label
"Apr 24, 2025","Electric Light Orchestra","Here Is the News",Time,Epic/Legacy
"Apr 24, 2025",ABBA,Lovelight,"Voulez-Vous (Bonus Track Version)","Polar Music International AB"
"Apr 24, 2025","Ginger Root",Neighbor,"City Slicker - EP","Acrophase Records"
"Apr 24, 2025",L'Impératrice,"Sweet & Sublime",Pulsar,microqlima
"Apr 24, 2025","Omar Apollo",Frío,"Frío - Single","Omar Apollo"
"Apr 24, 2025","New Order","Chosen Time",Movement,"WM UK"
"Apr 24, 2025","Joni Mitchell",California,Blue,Rhino
"Apr 24, 2025","Robert Lester Folsom","Spanish Lady","Music and Dreams","Anthology Recordings"
"Apr 24, 2025","Orville Peck",Summertime,Summertime,"Sub Pop Records"
"Apr 24, 2025","Manfred Mann's Earth Band","Lies (Through the 80s)",Chance,"East Central One"
"Apr 24, 2025","Sammy Rae & The Friends","Luck of the Draw (feat. Will Leet)","Something for Everybody","Nettwerk Music Group"
"Apr 24, 2025","Pigeons Playing Ping Pong","Sail On",Presto,"Pigeons Playing Ping Pong"
"Apr 24, 2025","Steve Miller Band","Just a Passin' Fancy in a Midnite Dream","Your Saving Grace","Capitol Records"
"Apr 24, 2025","Rainbow Kitten Surprise",Run,RKS,"RKS Recordings"
"Apr 24, 2025",Supergrass,"Mansize Rooster","I Should Coco",Echo
"Apr 24, 2025","Bob Seger & The Silver Bullet Band","The Horizontal Bop","Against the Wind","Bob Seger"
