"Playlist Title","Pachanga! #70"
"DJ Name",PJ
"Playlist Start Date","May 8, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"
"Episode Description","<p>Red Playlist!</p>"

Date,Artist,Song,Release,Label
"May 8, 2025","The Go! Team","Everyone's a V.I.P. to Someone","Thunder, Lightning, Strike","Memphis Industries Ltd"
"May 8, 2025","Neal Francis",Lauren,Changes,"Karma Chief Records"
"May 8, 2025",Saintseneca,"Maya 31","Such Things",Anti/Epitaph
"May 8, 2025","The Cure","A Letter to Elise",Wish,"Elektra Records"
"May 8, 2025","Electric Light Orchestra","Without Someone","Balance of Power",Epic/Legacy
"May 8, 2025","Trio Ternura","A Gira","A Gira / Last Tango In Paris - Single","Melodies International"
"May 8, 2025",Sadistics,"The Tokyo Taste",sadistics,Victor
"May 8, 2025","TV Girl","The Blonde","French Exit","TV Girl"
"May 8, 2025","The Strokes","80's Comedown Machine","Comedown Machine","RCA Records Label"
"May 8, 2025","Bee Gees","Spirits (Having Flown)","Spirits Having Flown","Bee Gees Catalog"
"May 8, 2025","Orville Peck","Queen of the Rodeo",Pony,"Sub Pop Records"
"May 8, 2025","Talking Heads","Happy Day","Talking Heads: 77","Warner Records"
"May 8, 2025","Will Leet","Good Time Guy (feat. Sammy Rae)","Good Time Guy (feat. Sammy Rae) - Single","Will Leet"
"May 8, 2025","Black Pumas","Stay Gold","Black Pumas (Deluxe Edition)","ATO Records"
"May 8, 2025","Big Star","Way Out West","Radio City",Stax
