"Playlist Title","Pachanga! #71"
"DJ Name",PJ
"Playlist Start Date","May 15, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"
"Episode Description","<p>Yellow playlist !</p>"

Date,Artist,Song,Release,Label
"May 15, 2025","Zoo Culture",Sundress,"Sundress - Single","Zoo Culture"
"May 15, 2025",America,"Tin Man (Live)",Live,"Rhino/Warner Records"
"May 15, 2025","Mac DeMarco","A Wolf Who Wears Sheeps Clothes","This Old Dog","Captured Tracks"
"May 15, 2025","Lou Reed",Adventurer,"Set the Twilight Reeling","Warner Records"
"May 15, 2025","The Teskey Brothers","Pain and Misery","Half Mile Harvest","Glassnote Entertainment Group LLC"
"May 15, 2025","Car Seat Headrest",P.O.W.,"My Back Is Killing Me Baby","551448 Records DK2"
"May 15, 2025","Roy Ayers Ubiquity","Hey, Uh, What You Say Come On","Everybody Loves the Sunshine",Polydor
"May 15, 2025","Electric Light Orchestra","Illusions In G Major",Eldorado,Epic/Legacy
"May 15, 2025","Liam Kazar","So Long Tomorrow","Due North","Woodsist / Mare"
"May 15, 2025","Devendra Banhart",Baby,"What Will We Be","Warner Records"
"May 15, 2025","Mott The Hoople","Ready for Love / After Lights","All the Young Dudes (Expanded Edition)",Columbia/Legacy
"May 15, 2025","Parquet Courts","Stoned and Starving","Light Up Gold","What's Your Rupture?/Mom+Pop"
"May 15, 2025","Men At Work","Helpless Automaton","Business As Usual",Columbia
"May 15, 2025",Eisenach,"Google Earth","Transitory Places - EP",eisenach
"May 15, 2025","Yo La Tengo","Farewell Adventureland","Adventureland (Original Motion Picture Soundtrack)","Hollywood Records"
