"Playlist Title","Pachanga! #73"
"DJ Name",PJ
"Playlist Start Date","Jun 12, 2025"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Jun 12, 2025",Caamp,Mistakes,"Mistakes / Fairview Feeling",
"Jun 12, 2025","Dolly Parton","What's Up? (ft. Linda Perry)","What's Up?",
"Jun 12, 2025","Bruce Springsteen",Adelita,"Tracks II: The Lost Albums",
"Jun 12, 2025","Orville Peck","Daytona Sand",Bronco,Columbia
"Jun 12, 2025","Mon Laferte","Si Tú Me Quisieras","Mon Laferte, Vol. 1","Universal Music Mexico"
"Jun 12, 2025","Gerry Rafferty","City to City","City to City","Parlophone UK"
"Jun 12, 2025","The The","Slow Emotion Replayed","Slow Emotion Replayed - Single",
"Jun 12, 2025","David Byrne","Everybody Laughs (ft. Ghost Train Orchestra)","Everybody Laughs",
"Jun 12, 2025","Grateful Dead","The Last Time (Live At the Copps Coliseum, Hamilton, Ontario, Canada, March 22, 1990)","Spring 1990 - So Glad You Made It (Live)","Grateful Dead/Rhino"
"Jun 12, 2025",Foxwarren,Deadhead,2,
"Jun 12, 2025",Goose,"Your Direction","Everything Must Go",
"Jun 12, 2025","Irie Souls","Wanting More","Zion Bound","Irie Souls"
"Jun 12, 2025",Khruangbin,"People Everywhere (Still Alive)","The Universe Smiles Upon You",Khruangbin
"Jun 12, 2025",L'Impératrice,ENTROPIA,"ENTROPIA - Single",
