"Playlist Title","Pachanga! #8"
"DJ Name",PJ
"Playlist Start Date","Mar 9, 2023"
"Playlist Start Time","11:00:00 AM"
"Playlist End Time","12:00:00 PM"
"Show Description","<p>It's time for a SPACE Pachanga. PJ plays classic pop rock and new wave alongside modern and local indie hits for an hour of upbeat and fun music. Will also occasionally feature themed playlists!</p>"

Date,Artist,Song,Release,Label
"Mar 9, 2023",Selena,"Disco Medley (Live From Astrodome)","The Last Concert (Live From Astrodome)","UMLE - Latino"
"Mar 9, 2023","Jerry Harrison","Rev It Up","Casual Gods","Rhino/Warner Records"
"Mar 9, 2023","Black Pumas","Eleanor Rigby","Black Pumas (Deluxe Edition)","ATO Records"
"Mar 9, 2023",Cheekface,"I Feel So Weird!","Too Much to Ask",Cheekface
"Mar 9, 2023","Robert Ellis","Nobody Smokes Anymore","Texas Piano Man","New West Records"
"Mar 9, 2023","Shona Laing","(Glad I'm Not) a Kennedy",South,"Shona Laing"
"Mar 9, 2023","The Cure","Boys Don't Cry","Boys Don't Cry","Polydor Records"
"Mar 9, 2023","The Clash","Charlie Don't Surf",Sandinista!,"Sony Music UK"
"Mar 9, 2023","Cigarettes After Sex","Neon Moon","Neon Moon - Single","Spanish Prayers"
"Mar 9, 2023","Gus Dapperton","I'm On Fire","I'm On Fire - Single","Gus Dapperton"
"Mar 9, 2023","Sea Lemon",Sunday,"Close Up - EP","Spirit Goth Records"
"Mar 9, 2023","Electric Light Orchestra","Yours Truly, 2095",Time,Epic/Legacy
"Mar 9, 2023","Wet Leg",Angelica,"Wet Leg","Domino Recording Co"
"Mar 9, 2023","Andy Shauf","Halloween Store",Norm,Anti/Epitaph
"Mar 9, 2023","Andy Shauf","Catch Your Eye",Norm,Anti/Epitaph
